"","name","ticker","date"
"1","GLX Holding","GLX","2020-02-28T18:07:52.357+01:00"
"2","Holmetjern Invest AS","HOLMIN","2020-02-28T17:00:00+01:00"
"3","Storm Real Estate ASA","STORM","2020-02-28T16:41:22.91+01:00"
"4","Storm Real Estate ASA","STORM","2020-02-28T16:41:10.05+01:00"
"5","Boa Offshore AS","BOAO","2020-02-28T16:31:00+01:00"
"6","BOA OCV AS","BOA","2020-02-28T16:31:00+01:00"
"7","Sand Hill Petroleum BV","SAHI","2020-02-28T16:14:27.82+01:00"
"8","Steen & Strøm AS","SST","2020-02-28T15:54:11.473+01:00"
"9","Songa Container AS","SCT","2020-02-28T15:53:13.267+01:00"
"10","Bulk Industrier AS","BUIN","2020-02-28T15:48:10.827+01:00"
"11","Ice Group Scandinavia Holdings AS","IGSH","2020-02-28T15:14:42.227+01:00"
"12","DigiPlex Norway Holding 2 AS","DPNH","2020-02-28T15:00:00+01:00"
"13","Beerenberg AS","BBERG","2020-02-28T14:27:28.033+01:00"
"14","Havila Shipping ASA","HAVI","2020-02-28T13:59:20.01+01:00"
"15","Havila Shipping ASA","HAVI","2020-02-28T13:59:19.933+01:00"
"16","Fossberg Kraft Produksjon AS","FOKR","2020-02-28T13:29:52.747+01:00"
"17","Rem Saltire AS","EFOR","2020-02-28T13:10:01.703+01:00"
"18","Rem Saltire AS","EFOR","2020-02-28T13:10:01.67+01:00"
"19","Zwipe AS","ZWIPE-ME","2020-02-28T10:35:30.647+01:00"
"20","Jinhui Shipping and Transport. Ltd","JIN","2020-02-28T09:19:57.18+01:00"
"21","Quantafuel ASA","QFUEL-ME","2020-02-28T08:57:10.507+01:00"
"22","Scana ASA","SCANA","2020-02-28T08:50:00+01:00"
"23","Viking Redningstjeneste Topco AS","VIKR","2020-02-28T08:40:00+01:00"
"24","Northern Ocean Ltd.","NOL","2020-02-28T08:03:20.033+01:00"
"25","Northern Drilling Ltd.","NODL","2020-02-28T08:02:45.213+01:00"
"26","MPC Container Ships ASA","MPCC","2020-02-28T08:00:19.067+01:00"
"27","MPC Container Ships Invest B.V.","MPCBV","2020-02-28T08:00:18.613+01:00"
"28","American Shipping Company ASA","AMSC","2020-02-28T08:00:15.52+01:00"
"29","American Tanker, Inc.","AMTI","2020-02-28T08:00:11.287+01:00"
"30","Hospitality Invest AS","HOIN","2020-02-28T08:00:00+01:00"
"31","Aega ASA","AEGA","2020-02-28T08:00:00+01:00"
"32","Jinhui Shipping and Transport. Ltd","JIN","2020-02-28T07:57:17.633+01:00"
