"","name","ticker","date","title","nr_attachments","type"
"1","Vasakronan AB","VASA","2020-01-30T10:48:54.153+01:00","Vasakronans bokslutskommuniké 2019",0,"quarterly"
"2","AB Stena Metall Finans","SMF","2020-01-30T08:30:00+01:00","Quarterly Report 1 2019-2020",1,"quarterly"
"3","Aurskog Sparebank","AURG","2020-01-30T08:24:01.757+01:00","Aurskog Sparebank: Delårsregnskap Q4 2019- foreløpig årsregnskap",1,"quarterly"
"4","Data Respons ASA","DAT","2020-01-30T07:30:10.69+01:00","Data Respons ASA: Rekordår for Data Respons",2,"quarterly"
"5","Data Respons ASA","DAT","2020-01-30T07:30:10.647+01:00","Data Respons ASA: Another record year for Data Respons",2,"quarterly"
"6","Europris ASA","EPR","2020-01-30T07:00:28.36+01:00","Growth and improved margins from solid operations",2,"quarterly"
"7","ArcticZymes Technologies ASA","AZT","2020-01-30T07:00:18.627+01:00","Biotec Pharmacon Q4 2019 Presentation",1,"quarterly"
"8","ArcticZymes Technologies ASA","AZT","2020-01-30T07:00:17.643+01:00","Biotec Pharmacon Q4 2019 Report",2,"quarterly"
"9","PGS ASA","PGS","2020-01-30T07:00:09+01:00","PGS ASA: Fourth Quarter and Preliminary Full Year 2019 Results & CMD Presentation",2,"quarterly"
"10","Sparebanken Vest","SVEG","2020-01-30T07:00:06.56+01:00","Strong Q4 result ends a record year characterised by ambitious strategic initiatives",2,"quarterly"
"11","Sparebanken Vest","SVEG","2020-01-30T07:00:06.403+01:00","Sterkt Q4-resultat avslutter et rekordår preget av offensive strategiske grep",2,"quarterly"
"12","Sparebanken Møre","MORG","2020-01-30T07:00:00+01:00","Sterkt årsresultat kommer regionen til gode",3,"quarterly"
"13","Sparebanken Møre","MORG","2020-01-30T07:00:00+01:00","Strong annual results benefit the region",3,"quarterly"
"14","Møre Boligkreditt AS","MOBK","2020-01-30T07:00:00+01:00","Møre Boligkreditt AS – fourth quarter 2019 interim report",1,"quarterly"
"15","Frende Holding AS","FRENDE","2020-01-29T16:34:17.507+01:00","Frende Holding 4. kvartal 2019",1,"quarterly"
"16","Self Storage Group ASA","SSG","2020-01-29T08:53:57.12+01:00","Self Storage Group ASA: Invitation to presentation of Q4 2019 results",0,"quarterly"
"17","Voss Veksel- og Landmandsbank ASA","VVL","2020-01-29T07:15:00+01:00","DELÅRSRAPPORT 4. KVARTAL 2019",2,"quarterly"
"18","Telenor ASA","TEL","2020-01-29T07:00:00+01:00","Telenor rapporterer resultater for fjerde kvartal 2019",2,"quarterly"
"19","Telenor ASA","TEL","2020-01-29T07:00:00+01:00","Telenor reports fourth quarter 2019 results",2,"quarterly"
"20","Bolig- og Næringskreditt AS","BNKR","2020-01-28T08:00:00+01:00","BNKR: Rapport 4. kvartal 2019",2,"quarterly"
"21","BN Bank ASA","BNB","2020-01-28T08:00:00+01:00","BNB: Rapport 4. kvartal 2019",3,"quarterly"
"22","Brage Finans AS","BRFI","2020-01-27T15:32:48.867+01:00","Brage Finans 4. kvartal 2019",1,"quarterly"
"23","AKVA group ASA","AKVA","2020-01-26T14:14:13.147+01:00","AKVA group ASA: Invitation - presentation of the Q4 2019 financial results",0,"quarterly"
"24","Aker Solutions ASA","AKSO","2020-01-24T09:00:14.043+01:00","Aker Solutions ASA: Invitation to Presentation of Fourth-Quarter Results for 2019",0,"quarterly"
"25","Scatec ASA","SSO","2020-01-24T07:00:07.087+01:00","Fourth quarter 2019 - Continued strong growth and new contract awards",2,"quarterly"
"26","StrongPoint ASA","STRONG","2020-01-23T15:32:01.09+01:00","StrongPoint ASA: StrongPoint ASA: Invitation to company strategy update session",0,"quarterly"
"27","Pareto Bank ASA","PARB","2020-01-23T07:28:32.677+01:00","Pareto Bank ASA Delårsrapport 4. kvartal 2019",2,"quarterly"
"28","Voss Sparebank","VOSSB","2020-01-22T14:30:33.737+01:00","Delårsrekneskap pr 31.12.2019 - Voss Sparebank",1,"quarterly"
"29","Gjensidige Forsikring ASA","GJF","2020-01-22T07:00:18.873+01:00","Solid fjerde kvartal og rekordhøyt årsresultat - Styret foreslår et utbytte på 12,25 kroner per aksje.",3,"quarterly"
"30","Gjensidige Forsikring ASA","GJF","2020-01-22T07:00:18.313+01:00","A strong fourth quarter and record high full year result - the Board proposes a dividend of NOK 12.25 per share",3,"quarterly"
"31","Gjensidige Pensjonsforsikring AS","GJEPF","2020-01-22T07:00:16.767+01:00","GJEPF: Q4 2019 Results",2,"quarterly"
"32","Pareto Bank ASA","PARB","2020-01-20T09:34:52.95+01:00","Invitation to presentation of Pareto Bank ASA’s fourth quarter results for 2019",0,"quarterly"
"33","Pareto Bank ASA","PARB","2020-01-20T09:34:52.83+01:00","Invitasjon til presentasjon av Pareto Bank ASAs regnskap for fjerde kvartal 2019",0,"quarterly"
"34","Yara International ASA","YAR","2020-01-17T08:00:01.827+01:00","Program for offentliggjøring av Yara International ASA 4. kvartalsrapport 2019",0,"quarterly"
"35","Yara International ASA","YAR","2020-01-17T08:00:01.81+01:00","Program for the publication of Yara International ASA fourth quarter results 2019",0,"quarterly"
"36","Totens Sparebank","TOTG","2020-01-14T12:00:00+01:00","PRESENTASJON AV FORELØPIG ÅRSREGNSKAP 2019",0,"quarterly"
"37","Scatec ASA","SSO","2020-01-13T13:34:23.77+01:00","Invitation to presentation of Scatec Solar's fourth quarter results 2019",0,"quarterly"
"38","Norwegian Air Shuttle ASA","NAS","2020-01-13T10:54:24.417+01:00","Invitation to presentation of Norwegian Air Shuttle's fourth quarter report",0,"quarterly"
"39","Lerøy Seafood Group ASA","LSG","2020-01-08T08:00:01.93+01:00","Lerøy Seafood Group ASA: Q4 2019 Trading update",0,"quarterly"
"40","Lerøy Seafood Group ASA","LSG","2020-01-08T08:00:01.883+01:00","Lerøy Seafood Group ASA: Q4 2019 Trading update",0,"quarterly"
"41","Polarcus Limited","PLCS","2020-01-06T07:00:01.947+01:00","Polarcus Vessel Utilization for Q4 and full year 2019",0,"quarterly"
"42","GLX Holding","GLX","2020-02-28T18:07:52.357+01:00","GLX Holding: Interim report for the fourth quarter 2019",1,"quarterly"
"43","Holmetjern Invest AS","HOLMIN","2020-02-28T17:00:00+01:00","Holmetjern Invest AS, semi-annual report 2019",1,"quarterly"
