"","ticker","name.x","date","industry","industri"
"1","2020","2020 Bulkers Ltd.",2020-02-11,"Industry","Industri"
"2","2020","2020 Bulkers Ltd.",2020-08-13,"Industry","Industri"
"3","2020","2020 Bulkers Ltd.",2020-04-30,"Industry","Industri"
"4","AASBME","Aasen Sparebank",2020-08-13,"Equity_certificate","Egenkapitalbevis"
"5","AASBME","Aasen Sparebank",2020-05-14,"Equity_certificate","Egenkapitalbevis"
"6","ABT","Aqua Bio Technology ASA",2020-08-26,"Materials","Materialer"
"7","ADE","Adevinta ASA",2020-05-05,"Communication","Kommunikasjon"
"8","ADE","Adevinta ASA",2020-07-09,"Communication","Kommunikasjon"
"9","ADE","Adevinta ASA",2020-02-12,"Communication","Kommunikasjon"
"10","ADE","Adevinta ASA",2020-07-16,"Communication","Kommunikasjon"
"11","ADSCME","ADS Crude Carriers Plc",2020-05-28,"Energy","Energi"
"12","ADSCME","ADS Crude Carriers Plc",2020-08-28,"Energy","Energi"
"13","ADSCME","ADS Crude Carriers Plc",2020-02-27,"Energy","Energi"
"14","AEGA","Aega ASA",2020-02-28,"Renewables","Forsyning"
"15","AEGA","Aega ASA",2020-05-29,"Renewables","Forsyning"
"16","AEGA","Aega ASA",2020-08-28,"Renewables","Forsyning"
"17","AFG","AF Gruppen ASA",2020-08-17,"Industry","Industri"
"18","AFG","AF Gruppen ASA",2020-02-14,"Industry","Industri"
"19","AFG","AF Gruppen ASA",2020-08-21,"Industry","Industri"
"20","AFG","AF Gruppen ASA",2020-05-14,"Industry","Industri"
"21","AFG","AF Gruppen ASA",2020-02-10,"Industry","Industri"
"22","AFG","AF Gruppen ASA",2020-05-08,"Industry","Industri"
"23","AFG","AF Gruppen ASA",2020-05-15,"Industry","Industri"
"24","AFK","Arendals Fossekompani ASA",2020-02-14,"Industry","Industri"
"25","AFK","Arendals Fossekompani ASA",2020-05-07,"Industry","Industri"
"26","AFK","Arendals Fossekompani ASA",2020-08-20,"Industry","Industri"
"27","AGS","Axxis Geo Solutions ASA",2020-05-27,"Energy","Energi"
"28","AGS","Axxis Geo Solutions ASA",2020-02-26,"Energy","Energi"
"29","AGS","Axxis Geo Solutions ASA",2020-08-19,"Energy","Energi"
"30","AKA","Akastor ASA",2020-02-13,"Energy","Energi"
"31","AKA","Akastor ASA",2020-04-28,"Energy","Energi"
"32","AKA","Akastor ASA",2020-07-16,"Energy","Energi"
"33","AKBMME","Aker BioMarine AS",2020-07-15,"Consumer_goods","Konsumvarer"
"34","AKER","Aker ASA",2020-02-06,"Finance","Finans"
"35","AKER","Aker ASA",2020-02-14,"Finance","Finans"
"36","AKER","Aker ASA",2020-04-29,"Finance","Finans"
"37","AKER","Aker ASA",2020-07-03,"Finance","Finans"
"38","AKER","Aker ASA",2020-05-08,"Finance","Finans"
"39","AKER","Aker ASA",2020-07-17,"Finance","Finans"
"40","AKERBP","Aker BP ASA",2020-07-14,"Energy","Energi"
"41","AKERBP","Aker BP ASA",2020-02-11,"Energy","Energi"
"42","AKERBP","Aker BP ASA",2020-05-06,"Energy","Energi"
"43","AKSO","Aker Solutions ASA",2020-07-15,"Energy","Energi"
"44","AKSO","Aker Solutions ASA",2020-02-07,"Energy","Energi"
"45","AKSO","Aker Solutions ASA",2020-04-30,"Energy","Energi"
"46","AKSO","Aker Solutions ASA",2020-01-24,"Energy","Energi"
"47","AKVA","AKVA group ASA",2020-07-29,"Industry","Industri"
"48","AKVA","AKVA group ASA",2020-01-26,"Industry","Industri"
"49","AKVA","AKVA group ASA",2020-08-14,"Industry","Industri"
"50","AKVA","AKVA group ASA",2020-05-08,"Industry","Industri"
"51","AKVA","AKVA group ASA",2020-02-14,"Industry","Industri"
"52","AKVA","AKVA group ASA",2020-04-28,"Industry","Industri"
"53","ALNG","AWILCO LNG ASA",2020-08-28,"Energy","Energi"
"54","AMSC","American Shipping Company ASA",2020-08-21,"Industry","Industri"
"55","AMSC","American Shipping Company ASA",2020-02-28,"Industry","Industri"
"56","ANDFME","Andfjord Salmon AS",2020-09-02,"Consumer_goods","Konsumvarer"
"57","AQUA","AqualisBraemar ASA",2020-02-27,"Energy","Energi"
"58","AQUA","AqualisBraemar ASA",2020-08-27,"Energy","Energi"
"59","ARCHER","Archer Limited",2020-02-14,"Energy","Energi"
"60","ARCHER","Archer Limited",2020-08-14,"Energy","Energi"
"61","ARCUS","Arcus ASA",2020-04-23,"Consumer_goods","Konsumvarer"
"62","ARCUS","Arcus ASA",2020-08-18,"Consumer_goods","Konsumvarer"
"63","ARCUS","Arcus ASA",2020-02-06,"Consumer_goods","Konsumvarer"
"64","ARCUS","Arcus ASA",2020-02-13,"Consumer_goods","Konsumvarer"
"65","ARCUS","Arcus ASA",2020-08-11,"Consumer_goods","Konsumvarer"
"66","ARCUS","Arcus ASA",2020-04-29,"Consumer_goods","Konsumvarer"
"67","ARR","Arribatec Solutions ASA",2020-08-28,"Industry","Industri"
"68","ASA","Atlantic Sapphire ASA",2020-08-28,"Consumer_goods","Konsumvarer"
"69","ASC","ABG Sundal Collier Holding ASA",2020-07-10,"Finance","Finans"
"70","ASC","ABG Sundal Collier Holding ASA",2020-02-12,"Finance","Finans"
"71","ASC","ABG Sundal Collier Holding ASA",2020-04-28,"Finance","Finans"
"72","ASETEK","Asetek A/S",2020-08-12,"IT","IT"
"73","ATEA","Atea ASA",2020-02-06,"IT","IT"
"74","ATEA","Atea ASA",2020-07-15,"IT","IT"
"75","ATEA","Atea ASA",2020-04-22,"IT","IT"
"76","AURG","Aurskog Sparebank",2020-01-30,"Equity_certificate","Egenkapitalbevis"
"77","AURG","Aurskog Sparebank",2020-08-13,"Equity_certificate","Egenkapitalbevis"
"78","AURG","Aurskog Sparebank",2020-04-30,"Equity_certificate","Egenkapitalbevis"
"79","AUSS","Austevoll Seafood ASA",2020-05-08,"Consumer_goods","Konsumvarer"
"80","AUSS","Austevoll Seafood ASA",2020-02-25,"Consumer_goods","Konsumvarer"
"81","AUSS","Austevoll Seafood ASA",2020-08-20,"Consumer_goods","Konsumvarer"
"82","AUSS","Austevoll Seafood ASA",2020-04-23,"Consumer_goods","Konsumvarer"
"83","AUSS","Austevoll Seafood ASA",2020-02-18,"Consumer_goods","Konsumvarer"
"84","AUSS","Austevoll Seafood ASA",2020-08-18,"Consumer_goods","Konsumvarer"
"85","AUSS","Austevoll Seafood ASA",2020-05-14,"Consumer_goods","Konsumvarer"
"86","AVANCE","Avance Gas Holding Ltd",2020-08-26,"Energy","Energi"
"87","AVANCE","Avance Gas Holding Ltd",2020-02-18,"Energy","Energi"
"88","AVANCE","Avance Gas Holding Ltd",2020-02-27,"Energy","Energi"
"89","AVANCE","Avance Gas Holding Ltd",2020-02-25,"Energy","Energi"
"90","AXA","Axactor SE",2020-04-21,"Finance","Finans"
"91","AXA","Axactor SE",2020-07-15,"Finance","Finans"
"92","AXA","Axactor SE",2020-02-05,"Finance","Finans"
"93","AXA","Axactor SE",2020-07-23,"Finance","Finans"
"94","AXA","Axactor SE",2020-04-17,"Finance","Finans"
"95","AXA","Axactor SE",2020-02-12,"Finance","Finans"
"96","AYFIEME","ayfie Group AS",2020-09-24,"IT","IT"
"97","AZT","ArcticZymes Technologies ASA",2020-01-30,"Healthcare","Helsevern"
"98","AZT","ArcticZymes Technologies ASA",2020-04-23,"Healthcare","Helsevern"
"99","AZT","ArcticZymes Technologies ASA",2020-08-19,"Healthcare","Helsevern"
"100","B2H","B2Holding ASA",2020-02-28,"Finance","Finans"
"101","B2H","B2Holding ASA",2020-08-20,"Finance","Finans"
"102","B2H","B2Holding ASA",2020-05-07,"Finance","Finans"
"103","BAKKA","Bakkafrost P/f",2020-02-25,"Consumer_goods","Konsumvarer"
"104","BAKKA","Bakkafrost P/f",2020-08-25,"Consumer_goods","Konsumvarer"
"105","BAKKA","Bakkafrost P/f",2020-05-05,"Consumer_goods","Konsumvarer"
"106","BALTME","Baltic<U+00A0>Sea<U+00A0>Properties<U+00A0>AS",2020-08-28,"Real_estate","Eiendom"
"107","BDRILL","Borr Drilling Limited",2020-08-28,"Energy","Energi"
"108","BEL","Belships ASA",2020-08-21,"Industry","Industri"
"109","BEL","Belships ASA",2020-02-21,"Industry","Industri"
"110","BEL","Belships ASA",2020-05-15,"Industry","Industri"
"111","BGBIO","BerGenBio ASA",2020-08-18,"Healthcare","Helsevern"
"112","BMA","Byggma ASA",2020-08-27,"Industry","Industri"
"113","BMA","Byggma ASA",2020-05-27,"Industry","Industri"
