"","Security","Name","date","title","quarter"
"1","2020","2020 Bulkers Ltd.",2020-02-11,"2020 Bulkers Ltd. (2020) - Results for the fourth quarter","Q4"
"2","2020","2020 Bulkers Ltd.",2020-04-30,"2020 Bulkers Ltd. (2020) - Results for the first quarter","Q1"
"3","2020","2020 Bulkers Ltd.",2020-08-13,"2020 Bulkers Ltd. (2020) - Results for the second quarter and the first half of 2020","Q2"
"4","AASBME","Aasen Sparebank",2020-02-24,"Årsrapport 2019 Aasen Sparebank inkl. revisors beretning 2019","Q4"
"5","AASBME","Aasen Sparebank",2020-05-14,"Kvartalsrapport 1. kvartal 2020 - Aasen Sparebank","Q1"
"6","AASBME","Aasen Sparebank",2020-08-13,"Delårsrapport 2. kvartal 2020 Aasen Sparebank","Q2"
"7","ABT","Aqua Bio Technology ASA",2020-08-26,"Aqua Bio Technology: Preget av pandemien - forbereder ekspansjon","Q2"
"8","ADE","Adevinta ASA",2020-02-12,"Adevinta ASA (ADE) - Adevinta announces its fourth quarter 2019 results","Q4"
"9","ADE","Adevinta ASA",2020-05-05,"Adevinta ASA (ADE) - Adevinta announces its first quarter 2020 results","Q1"
"10","ADE","Adevinta ASA",2020-07-16,"Adevinta ASA (ADE) - Adevinta reports resilient performance in Q2","Q2"
"11","ADSCME","ADS Crude Carriers Plc",2020-02-27,"ADS Crude Carriers fourth quarter 2019","Q4"
"12","ADSCME","ADS Crude Carriers Plc",2020-05-28,"ADS Crude Carriers first quarter 2020","Q1"
"13","ADSCME","ADS Crude Carriers Plc",2020-08-28,"ADS Crude Carriers second quarter 2020","Q2"
"14","AEGA","Aega ASA",2020-02-28,"Interim report Q4 2019","Q4"
"15","AEGA","Aega ASA",2020-05-29,"Interim report Q1 2020","Q1"
"16","AEGA","Aega ASA",2020-08-28,"Interim report Q2 2020","Q2"
"17","AFG","AF Gruppen ASA",2020-02-14,"Presentation of the Q4 2019 report","Q4"
"18","AFG","AF Gruppen ASA",2020-05-15,"Presentasjon av rapporten for 1. kvartal 2020","Q1"
"19","AFG","AF Gruppen ASA",2020-08-21,"Presentation of the Q2 2020 report","Q2"
"20","AFK","Arendals Fossekompani ASA",2020-02-14,"AFK Kvartalsrapport 4. kvartal 2019","Q4"
"21","AFK","Arendals Fossekompani ASA",2020-05-07,"AFK Kvartalsrapport 1. kvartal 2020","Q1"
"22","AFK","Arendals Fossekompani ASA",2020-08-20,"AFK Rapport for 2. kvartal og 1. halvår 2020","Q2"
"23","AGS","Axxis Geo Solutions ASA",2020-02-26,"Fourth quarter 2019 earnings release","Q4"
"24","AGS","Axxis Geo Solutions ASA",2020-05-27,"AGS announces first quarter 2020 results","Q1"
"25","AGS","Axxis Geo Solutions ASA",2020-08-19,"AGS announces second quarter 2020 results","Q2"
"26","AKA","Akastor ASA",2020-02-13,"Akastor ASA: Fourth Quarter Results 2019","Q4"
"27","AKA","Akastor ASA",2020-04-28,"Akastor ASA: First Quarter Results 2020","Q1"
"28","AKA","Akastor ASA",2020-07-16,"Akastor ASA: Second Quarter and Half Year Results 2020","Q2"
"29","AKBMME","Aker BioMarine AS",2020-07-15,"AKER BIOMARINE DELIVERS STRONG GROWTH IN H1 2020","Q2"
"30","AKER","Aker ASA",2020-04-01,"Aker ASA: Annual, Environmental, Social and Corporate Governance Reports for 2019","Q4"
"31","AKER","Aker ASA",2020-05-08,"Aker ASA: First quarter results 2020","Q1"
"32","AKER","Aker ASA",2020-07-17,"Aker ASA: Second quarter and half-year results 2020 - Net Asset Value of NOK 34.3 billion. Unlocks growth opportunities in renewable energy and green technology industries","Q2"
"33","AKERBP","Aker BP ASA",2020-02-11,"Resultat for fjerde kvartal 2019 og kapitalmarkedsoppdatering","Q4"
"34","AKERBP","Aker BP ASA",2020-05-06,"First quarter 2020 results","Q1"
"35","AKERBP","Aker BP ASA",2020-07-14,"Resultat for andre kvartal 2020","Q2"
"36","AKSO","Aker Solutions ASA",2020-02-07,"Aker Solutions ASA: Fourth-Quarter Results 2019","Q4"
"37","AKSO","Aker Solutions ASA",2020-04-30,"Aker Solutions ASA: First-Quarter Results 2020","Q1"
"38","AKSO","Aker Solutions ASA",2020-07-15,"Aker Solutions ASA: Second-Quarter and Half-Year Results 2020","Q2"
"39","AKVA","AKVA group ASA",2020-02-14,"AKVA group ASA: 4Q 2019 financial reporting","Q4"
"40","AKVA","AKVA group ASA",2020-05-08,"AKVA group ASA: 1Q 2020 financial reporting","Q1"
"41","AKVA","AKVA group ASA",2020-08-14,"AKVA group ASA: 2Q and 1H 2020 financial reporting","Q2"
"42","ALNG","AWILCO LNG ASA",2020-02-28,"ALNG <U+0096> Q4 2019 report","Q4"
"43","ALNG","AWILCO LNG ASA",2020-08-28,"ALNG - Q2 2020 report","Q2"
"44","AMSC","American Shipping Company ASA",2020-02-28,"American Shipping Company ASA - Fourth quarter financial results","Q4"
"45","AMSC","American Shipping Company ASA",2020-05-20,"American Shipping Company ASA - First quarter 2020 financial results","Q1"
"46","AMSC","American Shipping Company ASA",2020-08-21,"American Shipping Company ASA - Second quarter financial results","Q2"
"47","ANDFME","Andfjord Salmon AS",2020-09-02,"Andfjord Salmon AS: Resultater for første halvår 2020","Q2"
"48","AQUA","AqualisBraemar ASA",2020-02-27,"Q4 2019 financial results","Q4"
"49","AQUA","AqualisBraemar ASA",2020-05-28,"Q1 2020 financial results","Q1"
"50","AQUA","AqualisBraemar ASA",2020-08-27,"Q2 2020 financial results","Q2"
"51","ARCHER","Archer Limited",2020-02-14,"Archer Limited: Fourth Quarter 2019 Earnings Release and Financial Outlook 2020","Q4"
"52","ARCHER","Archer Limited",2020-08-14,"Archer Limited: Second Quarter and Half Year 2020 Results","Q2"
"53","ARCUS","Arcus ASA",2020-02-13,"Arcus ASA: Fourth quarter results 2019 (corrected version)","Q4"
"54","ARCUS","Arcus ASA",2020-04-29,"Arcus ASA: First quarter results 2020","Q1"
"55","ARCUS","Arcus ASA",2020-08-18,"Arcus ASA: Second quarter results 2020","Q2"
"56","ARR","Arribatec Solutions ASA",2020-03-31,"Hiddn: Annual report 2019","Q4"
"57","ARR","Arribatec Solutions ASA",2020-08-28,"Interim Financial Report -  First half 2020","Q2"
"58","ASA","Atlantic Sapphire ASA",2020-03-26,"Atlantic Sapphire AS - 2019 Annual Report","Q4"
"59","ASA","Atlantic Sapphire ASA",2020-08-28,"Atlantic Sapphire ASA: 1st Half, 2020 Update and Financial Statements","Q2"
"60","ASC","ABG Sundal Collier Holding ASA",2020-02-12,"ABGSC - Q4 2019 Interim Report","Q4"
"61","ASC","ABG Sundal Collier Holding ASA",2020-04-28,"ABGSC - Q1 2020 Interim Report","Q1"
"62","ASC","ABG Sundal Collier Holding ASA",2020-07-10,"ABGSC - Q2 2020 Interim Report","Q2"
"63","ASETEK","Asetek A/S",2020-02-26,"Asetek - Q4 2019: Revenue in Line With Expectations, Evolving Gaming and Enthusiast Business Model","Q4"
"64","ASETEK","Asetek A/S",2020-04-22,"Asetek - Q1 2020: Lower Revenue and Increased Gross Margin","Q1"
"65","ASETEK","Asetek A/S",2020-08-12,"Asetek - Q2 2020: Gross margin increase and raised full-year expectations","Q2"
"66","ATEA","Atea ASA",2020-02-06,"Atea reports financial results for Q4 2019","Q4"
"67","ATEA","Atea ASA",2020-04-22,"Atea reports financial results for Q1 2020","Q1"
"68","ATEA","Atea ASA",2020-07-15,"Atea Q2 2020 financial report and presentation","Q2"
"69","AURG","Aurskog Sparebank",2020-01-30,"Aurskog Sparebank: Delårsregnskap Q4 2019- foreløpig årsregnskap","Q4"
"70","AURG","Aurskog Sparebank",2020-04-30,"Delårsregnskap 1Q 2020","Q1"
"71","AURG","Aurskog Sparebank",2020-08-13,"Delårsregnskap første halvår 2020","Q2"
"72","AUSS","Austevoll Seafood ASA",2020-02-25,"Finansiell rapport for 4. kvartal og foreløpige tall for år 2019","Q4"
"73","AUSS","Austevoll Seafood ASA",2020-05-14,"Finansiell rapport 1. kvartal 2020","Q1"
"74","AUSS","Austevoll Seafood ASA",2020-08-20,"Finansiell rapport 2. kvartal og 1. halvår 2020","Q2"
"75","AVANCE","Avance Gas Holding Ltd",2020-02-27,"Avance Gas Holding Ltd Reports Unaudited Results for the Fourth Quarter and Full Year of 2019","Q4"
"76","AVANCE","Avance Gas Holding Ltd",2020-05-28,"Avance Gas Holding Ltd Reports Unaudited Results for the First Quarter 2020","Q1"
"77","AVANCE","Avance Gas Holding Ltd",2020-08-26,"Avance Gas Holding Ltd Reports Unaudited Results for the Second Quarter of 2020","Q2"
"78","AWDR","Awilco Drilling Plc",2020-02-25,"Awilco Drilling PLC: Awilco Drilling Reports Q4 2019 results","Q4"
"79","AWDR","Awilco Drilling Plc",2020-05-13,"Awilco Drilling PLC: Awilco Drilling Reports Q1 2020 Results","Q1"
"80","AWDR","Awilco Drilling Plc",2020-08-12,"Awilco Drilling PLC: Awilco Drilling Reports Q2 2020 Results","Q2"
"81","AXA","Axactor SE",2020-02-12,"Axactor ends the year with high growth and margin expansion","Q4"
"82","AXA","Axactor SE",2020-04-21,"Axactor reports Q1 financials","Q1"
"83","AXA","Axactor SE",2020-07-23,"Axactor reports Q2 and H1 financials","Q2"
"84","AYFIEME","ayfie Group AS",2020-09-24,"ayfie Group AS - H1 2020 financial report","Q2"
"85","AZT","ArcticZymes Technologies ASA",2020-01-30,"Biotec Pharmacon Q4 2019 Presentation","Q4"
