"","date","title","pageviews","pageviews_mobile","xl","read_time","read_time_total","sentences_count","subject","url","word_count"
"1",2020-02-01,"Kinesere rammet av fordommer og fremmedfrykt etter virusutbrudd",47661,33876,0,54,1545695,26,"Nytt koronavirus (Covid-19);Kina;Urix","https://www.nrk.no/urix/kinesere-rammet-av-fordommer-og-fremmedfrykt-etter-virusutbrudd-1.14885458",566
"2",2020-02-01,"Turistguiden tar sine Corona-forholdsregler: – Jeg hilser med vottene på",50648,33925,0,37,1095941,66,"NRK Sápmi – norsk;Norge;Nytt koronavirus (Covid-19);Samisk lenkesamling;Urix;Livsstil og helse;Reiseliv","https://www.nrk.no/sapmi/turistguiden-tar-sine-corona-forholdsregler_-_-jeg-hilser-med-vottene-pa-1.14884092",707
"3",2020-02-01,"Frykter medisinmangel i Norge ved korona-utbrudd",87386,63947,0,72,3236646,57,"Nytt koronavirus (Covid-19);Legemidler;Norge","https://www.nrk.no/norge/frykter-medisinmangel-i-norge-ved-korona-utbrudd-1.14885473",779
"4",2020-02-01,"Fryktar smitte – syr sine eigne munnbind",33219,22460,0,55,1186105,38,"Nytt koronavirus (Covid-19);Norge;Kina","https://www.nrk.no/vestland/fryktar-smitte-_-syr-sine-eigne-munnbind-1.14885630",465
"5",2020-03-01,"Rapport: Korona smitter raskt, men få blir alvorlig syke",256750,191183,0,67,7739157,32,"Norge;Nytt koronavirus (Covid-19);Helse","https://www.nrk.no/norge/rapport_-korona-smitter-raskt_-men-fa-blir-alvorlig-syke-1.14924230",510
"6",2020-03-01,"Koronaviruset kutter en firedel av Kinas klimagassutslipp",167578,110117,0,51,4829054,43,"Norge;Nytt koronavirus (Covid-19);Klima og miljø","https://www.nrk.no/urix/koronaviruset-kutter-en-firedel-av-kinas-klimagassutslipp-1.14922099",599
"7",2020-03-01,"Testes for korona i bilene sine",138988,100313,0,54,4350845,34,"Nytt koronavirus (Covid-19)","https://www.nrk.no/osloogviken/testes-for-korona-i-bilene-sine-1.14924300",392
"8",2020-03-01,"Både statsminister og helseminister er bekymret over mangel på utstyr",57818,39495,0,48,1601304,37,"Nytt koronavirus (Covid-19);Høyre;Norge","https://www.nrk.no/norge/bade-statsminister-og-helseminister-er-bekymret-over-mangel-pa-utstyr-1.14924457",495
"9",2020-03-01,"Nye karanteneregler for helsepersonell over hele landet",245963,184064,0,62,6500974,67,"Nytt koronavirus (Covid-19);Norge","https://www.nrk.no/norge/nye-karanteneregler-for-helsepersonell-over-hele-landet-1.14924751",882
"10",2020-04-01,"Nabokommunene har korona, men denne øyen har ingen bekreftede tilfeller",42000,24131,0,37,985132,51,"Nytt koronavirus (Covid-19);Norge","https://www.nrk.no/vestland/nabokommunene-har-korona_-men-denne-oyen-har-ingen-bekreftede-tilfeller-1.14961733",626
"11",2020-04-01,"Ultraortodokse jøder nekter å følge rådene mot virussmitte",321903,195384,0,91,16840660,64,"Urix;Israel;Nytt koronavirus (Covid-19)","https://www.nrk.no/urix/ultraortodokse-joder-nekter-a-folge-radene-mot-virussmitte-1.14967958",929
"12",2020-04-01,"Over 51.000 har meldt inn mulige korona-symptomer",54456,32797,0,37,1317962,32,"Norge;Nytt koronavirus (Covid-19)","https://www.nrk.no/norge/over-51.000-har-meldt-inn-mulige-korona-symptomer-1.14968366",529
"13",2020-04-01,"Arbeidsfolk mener hytteforbudet rammer dem",155406,91971,0,48,4463429,38,"Nytt koronavirus (Covid-19);Koronaviruset i Innlandet","https://www.nrk.no/innlandet/arbeidsfolk-mener-hytteforbudet-rammer-dem-1.14967017",469
"14",2020-04-01,"– No kan vi planlegge som om det meste blir normalt",11130,6980,0,42,324900,45,"Nytt koronavirus (Covid-19);Landbruk;Landbruket i Sogn og Fjordane;Frukt og bær;Arbeidsliv og sysselsetting","https://www.nrk.no/vestland/_-no-kan-vi-planlegge-som-om-det-meste-blir-normalt-1.14958225",574
"15",2020-04-01,"Ber folk om å ta påskehandelen så tidlig som mulig: Vil unngå tomme hyller",212103,121471,0,32,4573207,30,"Nytt koronavirus (Covid-19);Norge","https://www.nrk.no/vestfoldogtelemark/ber-folk-om-a-ta-paskehandelen-sa-tidlig-som-mulig_-vil-unnga-tomme-hyller-1.14967365",310
"16",2020-04-01,"Tidligere ombudsmann med sterk kritikk av hemmelige smitteverntall: – Ikke det Norge jeg ønsker",83736,46600,0,40,2157152,42,"Norge;Nytt koronavirus (Covid-19);Smittevernutstyr","https://www.nrk.no/norge/tidligere-ombudsmann-med-sterk-kritikk-av-hemmelige-smitteverntall_-_-ikke-det-norge-jeg-onsker-1.14966246",617
"17",2020-04-01,"Fem nye dødsfall kjent i dag",101973,65151,0,31,1851830,31,"Norge;Nytt koronavirus (Covid-19);Helsesaker i Møre og Romsdal;Møre og Romsdal;Sunnmøre","https://www.nrk.no/norge/fem-nye-dodsfall-kjent-i-dag-1.14968685",404
"18",2020-04-01,"Helsedirektøren: Dette er kravene til idrettsaktiviteter",72412,46935,0,33,1377413,28,"Nytt koronavirus (Covid-19)","https://www.nrk.no/sport/helsedirektoren_-dette-er-kravene-til-idrettsaktiviteter-1.14968669",358
"19",2020-04-01,"Risikerer økt kriminalitet",20380,11659,0,31,419786,48,"Nytt koronavirus (Covid-19);Kultur & Underholdning;Kultur;Norge","https://www.nrk.no/kultur/risikerer-okt-kriminalitet-1.14965701",595
