"","date","title","pageviews","pageviews_mobile","xl","read_time","read_time_total","sentences_count","subject","url","word_count"
"1",2020-01-01,"Årets nyttårsbarn er født i Bodø og på Stord",106304,81552,0,37,2150000,29,"Norge;Nordland","https://www.nrk.no/vestland/arets-nyttarsbarn-er-fodt-i-bodo-og-pa-stord-1.14842388",341
"2",2020-01-01,"Mange branner over hele landet nyttårsaften",83758,64109,0,51,2144414,38,"Norge","https://www.nrk.no/norge/mange-branner-over-hele-landet-nyttarsaften-1.14842393",528
"3",2020-01-01,"Brann i rekkehus i Bergen",56891,42316,0,43,1042489,40,"Norge","https://www.nrk.no/vestland/brann-i-rekkehus-i-bergen-1.14842415",565
"4",2020-01-01,"Inferno i Australia – mer enn 200 hus er brent ned",43425,31398,0,55,1358038,26,"Urix;Australia","https://www.nrk.no/urix/inferno-i-australia-_-mer-enn-200-hus-er-brent-ned-1.14842423",429
"5",2020-01-01,"Hus totalskadd i brann",19979,13904,0,25,372339,18,"Krim og hendingar i Sogn og Fjordane;Norge","https://www.nrk.no/vestland/hus-totalskadd-i-brann-1.14842467",165
"6",2020-01-01,"Gåten Adama",84104,69333,0,136,4709071,95,"Thore Haugstads kommentarer","https://www.nrk.no/sport/gaten-adama-1.14842239",1002
"7",2020-01-01,"Sporene Tore Sandberg håper kan løse Orderud-gåten",57661,39210,0,105,3249637,71,"Orderud-saken;Norge","https://www.nrk.no/norge/sporene-tore-sandberg-haper-kan-lose-orderud-gaten-1.14841016",1228
"8",2020-01-01,"Her er dagens quiz - 1. januar",3029,1782,0,28,54858,34,"NRK Sogn og Fjordane sin julequiz 2019","https://www.nrk.no/vestland/her-er-dagens-quiz---1.-januar-1.14827357",471
"9",2020-01-01,"Anmeldelse: Picasso 347 på Henie Onstad Kunstsenter",45708,23545,0,53,1480406,26,"NRK anmelder kunst;Kunst","https://www.nrk.no/anmeldelser/anmeldelse_-picasso-347-pa-henie-onstad-kunstsenter-1.14832506",644
"10",2020-01-01,"Trump med julehilsen til Iran: – Dette er ingen advarsel, det er en trussel. Godt nyttår!",89676,63819,0,61,3163926,29,"Irak;Iran;USA","https://www.nrk.no/norge/trump-med-julehilsen-til-iran_-_-dette-er-ingen-advarsel_-det-er-en-trussel.-godt-nyttar_-1.14842506",445
